beta,chrf,fluency
0.0001,58.240755661473,-3.5897857848120234
0.001,58.240755661473,-3.5897857848120234
0.005,58.240755661473,-3.5897857848120234
0.01,58.267168865525676,-3.5898038934978347
0.05,59.448706221451005,-3.5918536114009716
0.1,60.90983467469767,-3.603073365620027
0.2,63.293876017532675,-3.6391347926172117
0.5,70.50070171161799,-3.8908352255634964
1.0,77.45869833734334,-4.289180486599604
2.0,79.56340798730935,-4.5395675873756405
5.0,80.353291132781,-4.705559081236522
10.0,80.48038654063234,-4.760279983679453
50.0,80.53284028111867,-4.820598452091217
100.0,80.53284028111867,-4.820598452091217
1000.0,80.53289171973199,-4.822247010072072
10000.0,80.53289659956266,-4.8224939767519635
