beta,chrf,fluency
0.0001,48.95579749267672,-2.945019986430804
0.001,48.95579749267672,-2.945019986430804
0.005,49.1226264573691,-2.945051032503446
0.01,49.69439480344048,-2.945227131644885
0.05,50.81512351294686,-2.948011253476143
0.1,52.11634538854323,-2.954475503563881
0.2,55.06819993300446,-2.986623548269272
0.5,60.25243270994206,-3.137722204128901
1.0,64.32848756686545,-3.3556766418615975
2.0,66.72201685938568,-3.6064213546117148
5.0,67.96829733928499,-3.8667918888727826
10.0,68.23969056286285,-3.9710988903045656
50.0,68.32219829036026,-4.0745149421691895
100.0,68.32641623266198,-4.09148174126943
1000.0,68.32708573477956,-4.097684864997864
10000.0,68.32708573477956,-4.097684864997864
